scene_stimulus,scene_cat,scene_label,canonical_item,item_cat,item_type,congruency,integrated_stimulus,recalled_stimulus
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_17.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_17.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_17.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_animal_18.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_18.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_18.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_16.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_16.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_16.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_animal_9.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_9.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_9.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_3.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_3.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_3.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_object_9.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_9.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_9.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_7.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_7.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_7.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_animal_13.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_13.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_13.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_2.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_2.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_2.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_object_6.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_6.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_6.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_19.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_19.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_19.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_object_9.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_9.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_9.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_6.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_6.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_6.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_animal_4.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_4.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_4.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_11.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_11.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_11.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_animal_10.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_10.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_10.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_13.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_13.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_13.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_animal_2.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_2.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_2.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_animal_17.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_17.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_17.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_animal_14.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_14.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_14.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_object_18.png,Undersea,object,si,stimuli/integrated/jungle_a_undersea_object_18.jpg,stimuli/recalled/recalled_jungle_a_undersea_object_18.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_object_16.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_16.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_16.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_4.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_4.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_4.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_object_18.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_18.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_18.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_15.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_15.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_15.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_animal_12.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_12.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_12.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_15.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_15.jpg,stimuli/recalled/recalled_jungle_b_jungle_animal_15.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_6.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_6.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_6.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_16.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_16.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_16.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_object_3.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_3.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_3.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_9.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_9.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_9.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_14.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_14.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_14.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_13.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_13.jpg,stimuli/recalled/recalled_jungle_b_jungle_animal_13.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_14.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_14.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_14.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_object_7.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_7.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_7.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_20.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_20.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_20.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_animal_7.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_7.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_7.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_8.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_8.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_8.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_3.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_3.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_3.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_20.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_20.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_20.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_animal_19.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_19.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_19.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_5.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_5.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_5.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_object_17.png,Jungle,object,si,stimuli/integrated/ocean_b_jungle_object_17.jpg,stimuli/recalled/recalled_ocean_b_jungle_object_17.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_4.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_4.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_4.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_15.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_15.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_15.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_11.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_11.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_11.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_object_12.png,Undersea,object,si,stimuli/integrated/jungle_b_undersea_object_12.jpg,stimuli/recalled/recalled_jungle_b_undersea_object_12.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/jungle_animal_20.png,Jungle,animal,si,stimuli/integrated/ocean_b_jungle_animal_20.jpg,stimuli/recalled/recalled_ocean_b_jungle_animal_20.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_5.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_5.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_5.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_5.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_5.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_5.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_6.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_6.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_6.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_15.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_15.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_15.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/undersea_animal_2.png,Undersea,animal,si,stimuli/integrated/jungle_b_undersea_animal_2.jpg,stimuli/recalled/recalled_jungle_b_undersea_animal_2.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_animal_11.png,Jungle,animal,si,stimuli/integrated/ocean_a_jungle_animal_11.jpg,stimuli/recalled/recalled_ocean_a_jungle_animal_11.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_object_8.png,Undersea,object,sc,stimuli/integrated/ocean_b_undersea_object_8.jpg,stimuli/recalled/recalled_ocean_b_undersea_object_8.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/jungle_object_12.png,Jungle,object,si,stimuli/integrated/ocean_a_jungle_object_12.jpg,stimuli/recalled/recalled_ocean_a_jungle_object_12.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_8.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_8.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_8.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_animal_18.png,Undersea,animal,sc,stimuli/integrated/ocean_a_undersea_animal_18.jpg,stimuli/recalled/recalled_ocean_a_undersea_animal_18.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_object_2.png,Jungle,object,sc,stimuli/integrated/jungle_b_jungle_object_2.jpg,stimuli/recalled/recalled_jungle_b_jungle_object_2.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_object_19.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_19.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_19.jpg
stimuli/scenes/JB_1.jpg,Jungle,Negvi,stimuli/items/jungle_animal_5.png,Jungle,animal,sc,stimuli/integrated/jungle_b_jungle_animal_5.jpg,stimuli/recalled/recalled_jungle_b_jungle_animal_5.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/undersea_animal_20.png,Undersea,animal,si,stimuli/integrated/jungle_a_undersea_animal_20.jpg,stimuli/recalled/recalled_jungle_a_undersea_animal_20.jpg
stimuli/scenes/UA_1.jpg,Undersea,Malbow,stimuli/items/undersea_object_1.png,Undersea,object,sc,stimuli/integrated/ocean_a_undersea_object_1.jpg,stimuli/recalled/recalled_ocean_a_undersea_object_1.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_animal_3.png,Jungle,animal,sc,stimuli/integrated/jungle_a_jungle_animal_3.jpg,stimuli/recalled/recalled_jungle_a_jungle_animal_3.jpg
stimuli/scenes/UB_1.jpg,Undersea,Tulon,stimuli/items/undersea_animal_11.png,Undersea,animal,sc,stimuli/integrated/ocean_b_undersea_animal_11.jpg,stimuli/recalled/recalled_ocean_b_undersea_animal_11.jpg
stimuli/scenes/JA_1.jpg,Jungle,Somar,stimuli/items/jungle_object_14.png,Jungle,object,sc,stimuli/integrated/jungle_a_jungle_object_14.jpg,stimuli/recalled/recalled_jungle_a_jungle_object_14.jpg
